method,system,d_site,N,n_qubits,n_qutrits,hybrid_label,K,fidelity_mean,fidelity_std,setting_size
DSATUR,qubit,2,2,2,0,,1,0.758212126,0.046349505,3
DSATUR,qubit,2,2,2,0,,2,0.794984441,0.059521825,3
DSATUR,qubit,2,2,2,0,,3,0.876575504,0.053640772,3
DSATUR,qubit,2,2,2,0,,4,0.943951759,0.029165099,3
DSATUR,qubit,2,2,2,0,,5,1.000000005,2.37E-09,3
DSATUR,qubit,2,3,3,0,,1,0.585518795,0.046382853,7
DSATUR,qubit,2,3,3,0,,2,0.642244605,0.0347159,7
DSATUR,qubit,2,3,3,0,,3,0.69609063,0.025631879,7
DSATUR,qubit,2,3,3,0,,4,0.736928201,0.052237014,6
DSATUR,qubit,2,3,3,0,,5,0.798158045,0.052731644,6
DSATUR,qubit,2,3,3,0,,6,0.859580453,0.056244042,6
DSATUR,qubit,2,3,3,0,,7,0.891511921,0.047068358,6
DSATUR,qubit,2,3,3,0,,8,0.946912657,0.041124592,4
DSATUR,qubit,2,3,3,0,,9,0.984722057,0.027428866,4
DSATUR,qubit,2,3,3,0,,10,0.999839503,0.032118382,3
DSATUR,qubit,2,4,4,0,,1,0.446821591,0.025718314,15
DSATUR,qubit,2,4,4,0,,2,0.494265652,0.017395269,15
DSATUR,qubit,2,4,4,0,,3,0.532139087,0.024654831,14
DSATUR,qubit,2,4,4,0,,4,0.557689541,0.030843143,14
DSATUR,qubit,2,4,4,0,,5,0.587269165,0.027126037,13
DSATUR,qubit,2,4,4,0,,6,0.615149321,0.025776652,13
DSATUR,qubit,2,4,4,0,,7,0.634434123,0.022796516,13
DSATUR,qubit,2,4,4,0,,8,0.654900734,0.019964494,12
DSATUR,qubit,2,4,4,0,,9,0.676740424,0.023145324,11
DSATUR,qubit,2,4,4,0,,10,0.698317239,0.026982307,11
DSATUR,qubit,2,4,4,0,,11,0.715693259,0.025682438,10
DSATUR,qubit,2,4,4,0,,12,0.729304968,0.027651763,10
DSATUR,qubit,2,4,4,0,,13,0.75250141,0.026663598,10
DSATUR,qubit,2,4,4,0,,14,0.77001045,0.023497007,10
DSATUR,qubit,2,4,4,0,,15,0.789907993,0.024488971,9
DSATUR,qubit,2,4,4,0,,16,0.803091828,0.027747985,9
DSATUR,qubit,2,4,4,0,,17,0.822080953,0.02626355,9
DSATUR,qubit,2,4,4,0,,18,0.839348592,0.029102208,8
DSATUR,qubit,2,4,4,0,,19,0.862981599,0.022975138,7
DSATUR,qubit,2,4,4,0,,20,0.883941143,0.023700754,7
DSATUR,qubit,2,4,4,0,,21,0.911189121,0.019522446,6
DSATUR,qubit,2,4,4,0,,22,0.930461167,0.023717672,6
DSATUR,qubit,2,4,4,0,,23,0.942461165,0.02371767,5
DSATUR,qubit,2,4,4,0,,24,0.958195456,0.019787824,4
DSATUR,qubit,2,4,4,0,,25,0.969963829,0.023646502,4
DSATUR,qubit,2,4,4,0,,26,0.979963831,0.023646502,3
DSATUR,qubit,2,4,4,0,,27,0.986963827,0.023646502,3
DSATUR,qubit,2,4,4,0,,28,0.993828898,0.023646504,2
DSATUR,qubit,2,4,4,0,,29,1.000000031,2.87E-09,2
DSATUR,qubit,2,5,5,0,,1,0.313751864,0.012616681,31
DSATUR,qubit,2,5,5,0,,2,0.348938937,0.013579905,31
DSATUR,qubit,2,5,5,0,,3,0.383583044,0.012114671,30
DSATUR,qubit,2,5,5,0,,4,0.406465138,0.010984907,29
DSATUR,qubit,2,5,5,0,,5,0.423175529,0.011619168,28
DSATUR,qubit,2,5,5,0,,6,0.43634618,0.009017162,28
DSATUR,qubit,2,5,5,0,,7,0.454328317,0.013959244,27
DSATUR,qubit,2,5,5,0,,8,0.468830066,0.011705625,26
DSATUR,qubit,2,5,5,0,,9,0.483213711,0.014086731,25
DSATUR,qubit,2,5,5,0,,10,0.496578309,0.011773715,25
DSATUR,qubit,2,5,5,0,,11,0.506996423,0.011428628,25
DSATUR,qubit,2,5,5,0,,12,0.521110213,0.010861899,25
DSATUR,qubit,2,5,5,0,,13,0.543565626,0.010927531,24
DSATUR,qubit,2,5,5,0,,14,0.5529211,0.010778682,23
DSATUR,qubit,2,5,5,0,,15,0.567927673,0.009232596,23
DSATUR,qubit,2,5,5,0,,16,0.570403491,0.010739223,23
DSATUR,qubit,2,5,5,0,,17,0.586201975,0.011233763,22
DSATUR,qubit,2,5,5,0,,18,0.596397721,0.010198311,21
DSATUR,qubit,2,5,5,0,,19,0.604699957,0.010032706,21
DSATUR,qubit,2,5,5,0,,20,0.615302964,0.011439658,20
DSATUR,qubit,2,5,5,0,,21,0.626273785,0.010911481,20
DSATUR,qubit,2,5,5,0,,22,0.631588373,0.009991342,19
