row_type;scenario;model_path;trained_on;train_seconds;hidden_dim;emb_dim;lr;epochs_per_graph;target_N;target_M_used;total_ops;colors;time;colors_gnn;colors_ilp;ratio_gnn_over_ilp;time_gnn;time_ilp;ratio_mean;ratio_std;ratio_stderr;n_repeats;seed_ops;seed_train;rng_seed;repeat_idx
train;train_2_3;gnn_qubits_train2_3_model1.pt;2,3;10.3783493;64;32;0.01;500;;;;;;;;;;;;;;;0;0;;
infer;targets;gnn_qubits_train2_3_model1.pt;2,3;;;;;;2;;15;5;0.004048586;;;;;;;;;;0;;0;
infer;targets;gnn_qubits_train2_3_model1.pt;2,3;;;;;;3;;63;10;0.005580902;;;;;;;;;;0;;0;
infer;targets;gnn_qubits_train2_3_model1.pt;2,3;;;;;;4;;255;27;0.331842184;;;;;;;;;;0;;0;
infer;targets;gnn_qubits_train2_3_model1.pt;2,3;;;;;;5;;1023;65;14.69787121;;;;;;;;;;0;;0;
infer;targets;gnn_qubits_train2_3_model1.pt;2,3;;;;;;6;;4095;147;16.23041534;;;;;;;;;;0;;0;
infer;targets;gnn_qubits_train2_3_model1.pt;2,3;;;;;;7;;16383;340;22.43879175;;;;;;;;;;0;;0;
train;train_2_3_4;gnn_qubits_train2_3_4_model1.pt;2,3,4;123.0055306;64;32;0.01;500;;;;;;;;;;;;;;;100;100;;
infer;targets;gnn_qubits_train2_3_4_model1.pt;2,3,4;;;;;;2;;15;5;0;;;;;;;;;;100;;100;
infer;targets;gnn_qubits_train2_3_4_model1.pt;2,3,4;;;;;;3;;63;10;0.010155201;;;;;;;;;;100;;100;
infer;targets;gnn_qubits_train2_3_4_model1.pt;2,3,4;;;;;;4;;255;25;0.299654245;;;;;;;;;;100;;100;
infer;targets;gnn_qubits_train2_3_4_model1.pt;2,3,4;;;;;;5;;1023;62;11.63805294;;;;;;;;;;100;;100;
infer;targets;gnn_qubits_train2_3_4_model1.pt;2,3,4;;;;;;6;;4095;143;11.85659289;;;;;;;;;;100;;100;
infer;targets;gnn_qubits_train2_3_4_model1.pt;2,3,4;;;;;;7;;16383;331;15.36388135;;;;;;;;;;100;;100;
train;train_4;gnn_qubits_train4_model.pt;4;83.76350355;64;32;0.01;500;;;;;;;;;;;;;;;200;200;;
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;10;255;;;7;3;2.333333333;0.001936913;0.183131218;;;;;200;;200;0
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;10;255;;;4;4;1;0;0.075018167;;;;;200;;200;1
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;10;255;;;6;3;2;0;0.106232643;;;;;200;;200;2
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;71;255;;;18;16;1.125;0.016758442;38.82160783;;;;;200;;200;0
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;71;255;;;17;15;1.133333333;0.018182755;40.65112758;;;;;200;;200;1
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;71;255;;;17;14;1.214285714;0.016544342;37.28155184;;;;;200;;200;2
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;132;255;;;27;22;1.227272727;0.079504967;280.4041076;;;;;200;;200;0
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;132;255;;;25;21;1.19047619;0.072481394;61.19677734;;;;;200;;200;1
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;132;255;;;27;22;1.227272727;0.046158791;114.3987906;;;;;200;;200;2
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;193;255;;;32;31;1.032258065;0.08297658;38.46791553;;;;;200;;200;0
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;193;255;;;33;30;1.1;0.083744049;37.90367651;;;;;200;;200;1
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;193;255;;;34;30;1.133333333;0.058295965;39.95416093;;;;;200;;200;2
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;255;255;;;29;28;1.0357;0.243439436;44.27830338;;;;;200;;200;0
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;255;255;;;29;28;1.0357;0.243098021;44.27830338;;;;;200;;200;1
subset_ratio;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;255;255;;;29;27;1.074;0.265098021;44.27830338;;;;;200;;200;2
subset_ratio_stats;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;10;255;;;;;;;;1.777777778;0.693888666;0.400616808;3;200;;200;
subset_ratio_stats;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;71;255;;;;;;;;1.157539683;0.049319826;0.028474815;3;200;;200;
subset_ratio_stats;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;132;255;;;;;;;;1.215007215;0.02124449;0.012265512;3;200;;200;
subset_ratio_stats;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;193;255;;;;;;;;1.088530466;0.051504516;0.029736146;3;200;;200;
subset_ratio_stats;train_4_subsets;gnn_qubits_train4_model.pt;4;;;;;;4;255;255;;;;;;;;1.0484;4.94E-02;2.87E-02;3;200;;200;
