row_type,system,n_qubits,n_qutrits,total_ops,M_used,method,seed,colors,times,colors_std,times_std,n_seeds
raw,hetero,1,1,35,35,DSATUR,0,13,0.09507754,,,1
summary,hetero,1,1,35,35,DSATUR,,13,0.09507754,0,0,1
raw,hetero,1,1,35,35,GNN,0,13,0.4273901,,,1
summary,hetero,1,1,35,35,GNN,,13,0.4273901,0,0,1
raw,hetero,1,1,35,35,ILP,0,13,0.494253635,,,1
summary,hetero,1,1,35,35,ILP,,13,0.494253635,0,0,1
raw,hetero,1,1,35,35,RLF,0,15,0.05534072,,,1
summary,hetero,1,1,35,35,RLF,,15,0.05534072,0,0,1
raw,hetero,1,1,35,35,Spectral,0,14,0.035371065,,,1
summary,hetero,1,1,35,35,Spectral,,14,0.035371065,0,0,1
raw,hetero,1,2,323,323,DSATUR,0,63,0.56584096,,,1
summary,hetero,1,2,323,323,DSATUR,,63,0.56584096,0,0,1
raw,hetero,1,2,323,323,GNN,0,73,5.0510638,,,1
summary,hetero,1,2,323,323,GNN,,73,5.0510638,0,0,1
raw,hetero,1,2,323,323,ILP,0,57,16.7943716,,,1
summary,hetero,1,2,323,323,ILP,,57,16.7943716,0,0,1
raw,hetero,1,2,323,323,RLF,0,76,0.449061394,,,1
summary,hetero,1,2,323,323,RLF,,76,0.449061394,0,0,1
raw,hetero,1,2,323,323,Spectral,0,64,0.593218446,,,1
summary,hetero,1,2,323,323,Spectral,,64,0.593218446,0,0,1
raw,hetero,2,1,143,143,DSATUR,0,32,0.041109324,,,1
summary,hetero,2,1,143,143,DSATUR,,32,0.041109324,0,0,1
raw,hetero,2,1,143,143,GNN,0,29,0.61732103,,,1
summary,hetero,2,1,143,143,GNN,,29,0.61732103,0,0,1
raw,hetero,2,1,143,143,ILP,0,25,0.987303257,,,1
summary,hetero,2,1,143,143,ILP,,25,0.987303257,0,0,1
raw,hetero,2,1,143,143,RLF,0,33,0.069947342,,,1
summary,hetero,2,1,143,143,RLF,,33,0.069947342,0,0,1
raw,hetero,2,1,143,143,Spectral,0,33,0.616666555,,,1
summary,hetero,2,1,143,143,Spectral,,33,0.616666555,0,0,1
raw,hetero,2,2,1295,1295,DSATUR,0,144,76.62801504,,,1
summary,hetero,2,2,1295,1295,DSATUR,,144,76.62801504,0,0,1
raw,hetero,2,2,1295,1295,GNN,0,166,13.077945,,,1
summary,hetero,2,2,1295,1295,GNN,,166,13.077945,0,0,1
raw,hetero,2,2,1295,1295,RLF,0,163,51.95188522,,,1
summary,hetero,2,2,1295,1295,RLF,,163,51.95188522,0,0,1
raw,hetero,2,2,1295,1295,Spectral,0,145,930.7140846,,,1
summary,hetero,2,2,1295,1295,Spectral,,145,930.7140846,0,0,1
