row_type;system;d;N;total_ops;method;seed;colors;times;colors_std;times_std;n_seeds
summary;qubit;2;2;15;DSATUR;;5;0.000991604;0;0.000546573;5
summary;qubit;2;2;15;GNN;;8.4;0.112321043;0.894427191;1.050261434;5
summary;qubit;2;2;15;ILP;;5;0.205507278;0;0.006175491;5
summary;qubit;2;2;15;RLF;;6;0.000995743;0.707106781;0;5
summary;qubit;2;2;15;Spectral;;10.4;0.003867912;0.894427191;0.001330299;5
summary;qubit;2;3;63;DSATUR;;11.2;0.003704691;1.303840481;0.000881085;5
summary;qubit;2;3;63;GNN;;12;0.183151007;2.549509757;1.050276363;5
summary;qubit;2;3;63;ILP;;9;0.725422859;0;0.010557522;5
summary;qubit;2;3;63;RLF;;12.4;0.003607241;0.894427191;0;5
summary;qubit;2;3;63;Spectral;;19;0.010796642;1.224744871;0.001334572;5
summary;qubit;2;4;255;DSATUR;;27;0.289891005;1.414213562;0.071123632;5
summary;qubit;2;4;255;GNN;;27;1.579821825;1.414213562;1.055038512;5
summary;qubit;2;4;255;ILP;;17;2.96802392;0;1.089648696;5
summary;qubit;2;4;255;RLF;;30.8;0.16330279;0.836660027;0.000448968;5
summary;qubit;2;4;255;Spectral;;43.6;0.225717878;1.949358869;0.058516465;5
summary;qubit;2;5;1023;DSATUR;;64.2;18.88467221;0.836660027;4.307212032;5
summary;qubit;2;5;1023;GNN;;64.2;27.58849773;0.836660027;1.204355417;5
summary;qubit;2;5;1023;RLF;;71.8;5.394331076;1.643167673;0.00598378;5
summary;qubit;2;5;1023;Spectral;;104.2;7.000603104;0.836660027;1.8084645;5
summary;qutrit;3;1;8;DSATUR;;7;0.000997066;0;0.000445902;5
summary;qutrit;3;1;8;GNN;;8;0.109975624;0;0.029666825;5
summary;qutrit;3;1;8;ILP;;7;0.212798595;0;0.00712113;5
summary;qutrit;3;1;8;RLF;;7;0.000999274;0;0;5
summary;qutrit;3;1;8;Spectral;;7;0.001731873;0;0.001000859;5
summary;qutrit;3;2;80;DSATUR;;29;0.010271215;0;0.000535212;5
summary;qutrit;3;2;80;GNN;;34.4;0.431805182;2.19089023;1.050130356;5
summary;qutrit;3;2;80;ILP;;29;0.862745237;0;0.003403578;5
summary;qutrit;3;2;80;RLF;;33.6;0.009895606;0.894427191;0;5
summary;qutrit;3;2;80;Spectral;;30.2;0.028477335;0.447213595;0.001348539;5
summary;qutrit;3;3;728;DSATUR;;131;8.101105452;2.915475947;0.363887538;5
summary;qutrit;3;3;728;GNN;;142.2;16.48920226;0.836660027;1.101901326;5
summary;qutrit;3;3;728;RLF;;149.4;1.827626228;2.966479395;0.000873538;5
summary;qutrit;3;3;728;Spectral;;131.8;8.969387722;2.949576241;0.573342441;5
