method,system,d_site,N,n_qubits,n_qutrits,hybrid_label,K,fidelity_mean,fidelity_std,setting_size
StandardQST,qubit,2,2,2,0,,1,0.876341443,0.020929133,4
StandardQST,qubit,2,2,2,0,,2,0.890913681,0.02672384,4
StandardQST,qubit,2,2,2,0,,3,0.912008329,0.03510225,4
StandardQST,qubit,2,2,2,0,,4,0.930501353,0.014169052,4
StandardQST,qubit,2,2,2,0,,5,0.946339869,0.014094093,4
StandardQST,qubit,2,2,2,0,,6,0.959552324,0.012017835,4
StandardQST,qubit,2,2,2,0,,7,0.97808873,0.017507312,4
StandardQST,qubit,2,2,2,0,,8,0.989917246,0.01156772,4
StandardQST,qubit,2,2,2,0,,9,1,3.25E-15,4
StandardQST,qubit,2,3,3,0,,1,0.868196371,0.004822168,8
StandardQST,qubit,2,3,3,0,,2,0.878990772,0.0080456,8
StandardQST,qubit,2,3,3,0,,4,0.891377147,0.013807706,8
StandardQST,qubit,2,3,3,0,,6,0.902384699,0.011439368,8
StandardQST,qubit,2,3,3,0,,8,0.913428191,0.007052778,8
StandardQST,qubit,2,3,3,0,,10,0.924551332,0.004921304,8
StandardQST,qubit,2,3,3,0,,12,0.945360623,0.010679381,8
StandardQST,qubit,2,3,3,0,,14,0.960709992,0.006876666,8
StandardQST,qubit,2,3,3,0,,16,0.972553833,0.005356348,8
StandardQST,qubit,2,3,3,0,,18,0.980398376,0.009649086,8
StandardQST,qubit,2,3,3,0,,20,0.984336137,0.005850231,8
StandardQST,qubit,2,3,3,0,,22,0.987079706,0.004144378,8
StandardQST,qubit,2,3,3,0,,24,0.98986108,0.00504687,8
StandardQST,qubit,2,3,3,0,,26,0.995885002,0.003031207,8
StandardQST,qubit,2,3,3,0,,27,1,2.03E-15,8
StandardQST,qubit,2,4,4,0,,1,0.848029355,0.006284872,16
StandardQST,qubit,2,4,4,0,,5,0.878776715,0.006471977,16
StandardQST,qubit,2,4,4,0,,10,0.897968107,0.007409999,16
StandardQST,qubit,2,4,4,0,,15,0.91157595,0.008625431,16
StandardQST,qubit,2,4,4,0,,20,0.925376997,0.008360583,16
StandardQST,qubit,2,4,4,0,,25,0.933331831,0.00452089,16
StandardQST,qubit,2,4,4,0,,30,0.938347109,0.006283147,16
StandardQST,qubit,2,4,4,0,,35,0.951195655,0.008520583,16
StandardQST,qubit,2,4,4,0,,40,0.95805762,0.00661235,16
StandardQST,qubit,2,4,4,0,,45,0.958110367,0.008721472,16
StandardQST,qubit,2,4,4,0,,50,0.969650102,0.003285127,16
StandardQST,qubit,2,4,4,0,,55,0.976942538,0.005951684,16
StandardQST,qubit,2,4,4,0,,60,0.97773147,0.003564214,16
StandardQST,qubit,2,4,4,0,,65,0.980472313,0.003243387,16
StandardQST,qubit,2,4,4,0,,70,0.987489951,0.002077441,16
StandardQST,qubit,2,4,4,0,,75,0.993019154,0.001548605,16
StandardQST,qubit,2,4,4,0,,80,0.997234007,0.002782898,16
StandardQST,qubit,2,4,4,0,,81,1,8.95E-15,16
StandardQST,qubit,2,5,5,0,,1,0.854227433,0.000749285,32
StandardQST,qubit,2,5,5,0,,5,0.870651938,0.002041389,32
StandardQST,qubit,2,5,5,0,,10,0.884751608,0.001883764,32
StandardQST,qubit,2,5,5,0,,15,0.893035215,0.002443723,32
StandardQST,qubit,2,5,5,0,,20,0.902135525,0.001432782,32
StandardQST,qubit,2,5,5,0,,25,0.907327379,0.001744319,32
StandardQST,qubit,2,5,5,0,,30,0.914221672,0.004377958,32
StandardQST,qubit,2,5,5,0,,35,0.916895673,0.004264593,32
StandardQST,qubit,2,5,5,0,,40,0.921640327,0.00416182,32
StandardQST,qubit,2,5,5,0,,45,0.928136809,0.004383428,32
StandardQST,qubit,2,5,5,0,,50,0.92977324,0.003770613,32
StandardQST,qubit,2,5,5,0,,55,0.933247721,0.002116454,32
StandardQST,qubit,2,5,5,0,,60,0.939306253,0.004435403,32
StandardQST,qubit,2,5,5,0,,65,0.939719757,0.002561987,32
StandardQST,qubit,2,5,5,0,,70,0.942175618,0.001534979,32
StandardQST,qubit,2,5,5,0,,75,0.947287167,0.003299373,32
StandardQST,qubit,2,5,5,0,,80,0.95081999,0.002459826,32
StandardQST,qubit,2,5,5,0,,85,0.95296637,0.004055761,32
StandardQST,qubit,2,5,5,0,,90,0.95475552,0.002939794,32
StandardQST,qubit,2,5,5,0,,95,0.955958424,0.002461038,32
StandardQST,qubit,2,5,5,0,,100,0.958118192,0.002371005,32
