method,system,d_site,N,n_qubits,n_qutrits,hybrid_label,K,fidelity_mean,fidelity_std,setting_size
StandardQST,qubit,2,2,2,0,,1,0.766715371,0.050578204,4
StandardQST,qubit,2,2,2,0,,2,0.801070983,0.06108401,4
StandardQST,qubit,2,2,2,0,,3,0.847887358,0.062735352,4
StandardQST,qubit,2,2,2,0,,4,0.874274214,0.040431774,4
StandardQST,qubit,2,2,2,0,,5,0.92133301,0.052658976,4
StandardQST,qubit,2,2,2,0,,6,0.928478635,0.036683314,4
StandardQST,qubit,2,2,2,0,,7,0.955270015,0.044276557,4
StandardQST,qubit,2,2,2,0,,8,0.9630427,0.036001925,4
StandardQST,qubit,2,2,2,0,,9,1.000000002,3.07E-09,4
StandardQST,qubit,2,3,3,0,,1,0.571202323,0.03175862,8
StandardQST,qubit,2,3,3,0,,2,0.62736878,0.042717875,8
StandardQST,qubit,2,3,3,0,,4,0.680801766,0.016578248,8
StandardQST,qubit,2,3,3,0,,6,0.760557401,0.020034496,8
StandardQST,qubit,2,3,3,0,,8,0.804956722,0.041398167,8
StandardQST,qubit,2,3,3,0,,10,0.82883588,0.02098982,8
StandardQST,qubit,2,3,3,0,,12,0.859159923,0.030747747,8
StandardQST,qubit,2,3,3,0,,14,0.878323703,0.014494254,8
StandardQST,qubit,2,3,3,0,,16,0.908885694,0.026876675,8
StandardQST,qubit,2,3,3,0,,18,0.925598253,0.030351301,8
StandardQST,qubit,2,3,3,0,,20,0.935383477,0.026384734,8
StandardQST,qubit,2,3,3,0,,22,0.951325803,0.024566166,8
StandardQST,qubit,2,3,3,0,,24,0.965001021,0.017107258,8
StandardQST,qubit,2,3,3,0,,26,0.981545083,0.009938733,8
StandardQST,qubit,2,3,3,0,,27,1.000000012,2.88E-09,8
StandardQST,qubit,2,4,4,0,,1,0.406757105,0.020975784,16
StandardQST,qubit,2,4,4,0,,5,0.516071627,0.017269283,16
StandardQST,qubit,2,4,4,0,,10,0.589634253,0.012987937,16
StandardQST,qubit,2,4,4,0,,15,0.657413451,0.027871432,16
StandardQST,qubit,2,4,4,0,,20,0.719140757,0.006098877,16
StandardQST,qubit,2,4,4,0,,25,0.732033311,0.017090377,16
StandardQST,qubit,2,4,4,0,,30,0.761667945,0.016129734,16
StandardQST,qubit,2,4,4,0,,35,0.782518859,0.012560158,16
StandardQST,qubit,2,4,4,0,,40,0.810713704,0.012786976,16
StandardQST,qubit,2,4,4,0,,45,0.822094893,0.009527909,16
StandardQST,qubit,2,4,4,0,,50,0.847922119,2.34E-09,16
StandardQST,qubit,2,5,5,0,,1,0.339980963,0.012098884,32
StandardQST,qubit,2,5,5,0,,10,0.450705251,0.011671877,32
StandardQST,qubit,2,5,5,0,,20,0.532616748,0.004848526,32
StandardQST,qubit,2,5,5,0,,30,0.585505857,0.008507081,32
StandardQST,qubit,2,5,5,0,,40,0.629161384,0.008844723,32
StandardQST,qubit,2,5,5,0,,50,0.652390109,0.002549606,32
StandardQST,qubit,2,5,5,0,,60,0.663917575,0.011731328,32
StandardQST,qubit,2,5,5,0,,70,0.696937037,0.005972757,32
StandardQST,qubit,2,5,5,0,,80,0.704929157,0.012157842,32
StandardQST,qubit,2,5,5,0,,90,0.722444532,0.003181884,32
StandardQST,qubit,2,5,5,0,,100,0.738755595,1.86E-09,32
